		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    1    0    4    3    0    0    1 12.884247 0.115895 SUCCESS   0
000000011    5    1    2    4    1    2    5    1  9.402234 0.309508 SUCCESS   1
000000101    0    0    2    2    1    2    0    0 11.063803 0.198110 SUCCESS   2
000000111    3    3    1    3    1    1    3    3  3.282230 0.915418 SUCCESS   3
000001001    3    4    4    5    5    1    3    5 11.662895 0.166890 SUCCESS   4
000001011    1    1    1    2    4    4    1    1  6.482903 0.593305 SUCCESS   5
000001101    3    2    2    0    1    5    2    2  6.608679 0.579380 SUCCESS   6
000001111    2    3    1    4    0    2    2    3  4.914011 0.766726 SUCCESS   7
000010001    1    1    5    2    3    1    1    1  7.330237 0.501457 SUCCESS   8
000010011    6    5    2    6    2    1    6    5 22.866903 0.003539 FAILURE   9
000010101    1    0    1    3    0    0    1    1 11.063803 0.198110 SUCCESS  10
000010111    1    0    1    2    6    1    1    0 13.920246 0.083868 SUCCESS  11
000011001    5    1    1    2    1    3    5    1  9.276457 0.319514 SUCCESS  12
000011011    1    2    4    2    3    1    1    2  4.003788 0.856782 SUCCESS  13
000011101    3    2    3    1    2    2    3    2  1.587562 0.991157 SUCCESS  14
000011111    3    2    3    2    2    6    3    2  6.138673 0.631702 SUCCESS  15
000100011    1    2    5    8    3    1    1    2 18.848685 0.015690 SUCCESS  16
000100101    3    7    4    1    4    2    3    7 21.046458 0.007025 FAILURE  17
000100111    4    5    4    4    0    3    5    4 12.447341 0.132333 SUCCESS  18
000101001    1    2    4    3    1    4    1    2  4.976899 0.760042 SUCCESS  19
000101011    4    0    1    2    1    1    4    0  9.746463 0.283274 SUCCESS  20
000101101    3    2    3    1    4    2    3    2  2.560672 0.958842 SUCCESS  21
000101111    2    1    1    1    3    1    2    1  4.599570 0.799391 SUCCESS  22
000110011    4    1    1    2    0    2    4    1  7.330237 0.501457 SUCCESS  23
000110101    5    2    0    2    2    3    5    2  8.554899 0.381222 SUCCESS  24
000110111    2    0    4    3    3    0    2    0  8.962017 0.345510 SUCCESS  25
000111001    2    3    4    1    1    0    2    3  5.698457 0.680967 SUCCESS  26
000111011    4    2    3    1    1    1    4    2  4.976899 0.760042 SUCCESS  27
000111101    1    3    6    1    2    1    1    3  9.213569 0.324601 SUCCESS  28
000111111    3    3    1    3    1    6    3    3  7.833341 0.449917 SUCCESS  29
001000011    2    2    5    1    2    4    2    2  5.102675 0.746548 SUCCESS  30
001000101    0    3    2    0    3    2    0    3  8.051795 0.428427 SUCCESS  31
001000111    1    2    8    4    3    5    1    2 19.037349 0.014661 SUCCESS  32
001001011    5    6    2    2    4    4    4    6 16.935564 0.030787 SUCCESS  33
001001101    5    3    1    6    3    0    5    3 14.800679 0.063139 SUCCESS  34
001001111    4    3    2    3    3    1    5    2  5.291339 0.726032 SUCCESS  35
001010011    2    2    4    5    3    2    2    2  4.381117 0.821206 SUCCESS  36
001010101    0    1    3    2    3    0    0    0 11.189579 0.191187 SUCCESS  37
001010111    2    0    0    2    2    2    2    0  7.863131 0.446953 SUCCESS  38
001011011    3    2    3    2    2    2    2    2  0.740228 0.999417 SUCCESS  39
001011101    1    1    0    3    5    4    1    1  9.935127 0.269609 SUCCESS  40
001011111    2    3    0    2    2    0    2    3  5.572680 0.694975 SUCCESS  41
001100101    1    1    1    2    1    2    1    1  5.321128 0.722767 SUCCESS  42
001100111    1    2    1    1    1    3    1    2  4.599570 0.799391 SUCCESS  43
001101011    4    4    1    3    2    1    4    4  6.138673 0.631702 SUCCESS  44
001101101    2    2    2    4    5    4    2    2  5.291339 0.726032 SUCCESS  45
001101111    3    0    5    3    3    1    3    0  9.213569 0.324601 SUCCESS  46
001110101    2    5    4    0    1    4    2    5 11.222678 0.189398 SUCCESS  47
001110111    5    4    4    2    2    0    5    4 11.411342 0.179463 SUCCESS  48
001111011    1    5    1    1    2    0    1    5 11.629796 0.168501 SUCCESS  49
001111101    4    3    7    3    0    5    4    3 16.684011 0.033573 SUCCESS  50
001111111    5    4    2    2    3    4    5    4  9.058004 0.337426 SUCCESS  51
010000011    4    1    2    1    1    2    3    1  4.788234 0.779952 SUCCESS  52
010000111    1    1    5    0    1    4    1    1 10.656685 0.221921 SUCCESS  53
010001011    1    2    3    0    4    1    1    2  6.420015 0.600293 SUCCESS  54
010001111    2    4    7    1    2    4    2    4 13.106011 0.108254 SUCCESS  55
010010011    2    2    2    2    3    1    2    2  1.461786 0.993324 SUCCESS  56
010010111    1    5    0    1    4    2    1    5 11.818460 0.159489 SUCCESS  57
010011011    5    2    2    5    3    3    5    2  8.932228 0.348045 SUCCESS  58
010011111    3    2    5    6    3    1    3    2  9.653786 0.290171 SUCCESS  59
010100011    2    5    1    2    2    3    2    5  6.923119 0.544950 SUCCESS  60
010100111    2    3    5    3    5    1    2    3  7.048895 0.531367 SUCCESS  61
010101011    2    2    1    2    6    0    2    1  9.935127 0.269609 SUCCESS  62
010101111    4    0    0    1    3    0    4    0 13.072912 0.109365 SUCCESS  63
010110011    3    2    1    0    3    4    3    2  4.976899 0.760042 SUCCESS  64
010110111    4    1    3    3    2    3    3    1  3.408006 0.906211 SUCCESS  65
010111011    2    1    2    2    3    6    2    1  7.581789 0.475349 SUCCESS  66
010111111    4    3    0    3    3    0    4    3  7.644677 0.468925 SUCCESS  67
011000111    2    3    2    0    1    4    2    3  4.914011 0.766726 SUCCESS  68
011001111    5    6    1    0    0    3    5    6 22.426686 0.004184 FAILURE  69
011010111    4    2    0    5    4    3    4    2  8.743564 0.364388 SUCCESS  70
011011111    3    2    7    1    2    2    3    2 10.312456 0.243777 SUCCESS  71
011101111    0    3    2    2    2    2    0    3  5.572680 0.694975 SUCCESS  72
011111111    2    4    5    7    2    2    2    4 14.079121 0.079726 SUCCESS  73
100000000    0    1    0    4    3    0    0    1 12.884247 0.115895 SUCCESS  74
100010000    4    4    7    1    2    2    4    4 14.079121 0.079726 SUCCESS  75
100100000    2    0    3    3    2    1    1    1  5.509792 0.701955 SUCCESS  76
100101000    2    4    0    2    3    2    2    4  5.039787 0.753315 SUCCESS  77
100110000    0    2    1    2    1    2    0    2  7.015796 0.534929 SUCCESS  78
100111000    4    3    2    2    2    1    4    3  3.470895 0.901437 SUCCESS  79
101000000    0    2    0    5    4    5    0    2 14.297574 0.074331 SUCCESS  80
101000100    3    4    5    2    3    2    4    3  5.480003 0.705254 SUCCESS  81
101001000    1    2    3    2    2    2    1    2  2.246232 0.972517 SUCCESS  82
101001100    0    3    2    4    0    3    0    3  9.024905 0.340199 SUCCESS  83
101010000    2    2    2    1    3    2    2    3  1.524674 0.992290 SUCCESS  84
101010100    1    0    3    0    2    4    1    0 10.468021 0.233700 SUCCESS  85
101011000    4    2    2    1    0    2    4    2  5.761345 0.673945 SUCCESS  86
101011100    2    1    0    3    5    1    2    1  8.177571 0.416320 SUCCESS  87
101100000    1    2    5    2    1    2    1    2  5.698457 0.680967 SUCCESS  88
101100100    2    1    1    0    2    3    2    1  5.446904 0.708915 SUCCESS  89
101101000    2    1    3    1    6    5    2    1 11.096902 0.196269 SUCCESS  90
101101100    7    3    2    3    0    4    7    3 21.768016 0.005364 FAILURE  91
101110000    2    2    0    2    1    0    2    2  6.231350 0.621335 SUCCESS  92
