		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    4    3    2    3    1    3    2  2.560672 0.958842 SUCCESS   0
000000011    1    2    1    1    3    1    1    1  5.384016 0.715853 SUCCESS   1
000000101    4    5    4    0    0    2    4    0 13.513128 0.095372 SUCCESS   2
000000111    2    2    1    3    4    3    0    4  5.887121 0.659874 SUCCESS   3
000001001    1    3    4    5    2    1    4    5  9.653786 0.290171 SUCCESS   4
000001011    3    4    3    3    1    2    4    2  3.533783 0.896552 SUCCESS   5
000001101    0    0    0    3    1    2    0    3 11.189579 0.191187 SUCCESS   6
000001111    4    3    2    6    4    4    1    6 15.052231 0.058138 SUCCESS   7
000010001    1    2    3    0    2    2    3    0  6.357126 0.607295 SUCCESS   8
000010011    2    1    2    3    3    1    2    3  2.372008 0.967432 SUCCESS   9
000010101    3    4    2    5    1    2    3    5  7.959118 0.437474 SUCCESS  10
000010111    4    3    3    5    3    4    3    4  6.516002 0.589633 SUCCESS  11
000011001    2    3    4    1    0    2    3    2  4.914011 0.766726 SUCCESS  12
000011011    0    0    0    2    2    1    0    2 11.063803 0.198110 SUCCESS  13
000011101    5    6    3    1    3    5    4    1 14.079121 0.079726 SUCCESS  14
000011111    3    3    3    5    4    5    2    6 12.573117 0.127406 SUCCESS  15
000100011    2    2    5    1    3    1    4    1  6.734455 0.565535 SUCCESS  16
000100101    2    2    3    3    3    1    2    3  1.650450 0.989919 SUCCESS  17
000100111    2    2    2    2    3    4    1    3  2.497784 0.961834 SUCCESS  18
000101001    5    1    4    1    2    1    4    2  7.644677 0.468925 SUCCESS  19
000101011    2    2    1    2    3    2    1    3  2.309120 0.970039 SUCCESS  20
000101101    3    3    2    5    0    1    3    3  6.797343 0.558648 SUCCESS  21
000101111    2    0    2    1    1    2    2    1  5.384016 0.715853 SUCCESS  22
000110011    3    6    5    6    1    3    5    6 22.992679 0.003374 FAILURE  23
000110101    0    2    2    3    0    3    2    1  6.357126 0.607295 SUCCESS  24
000110111    0    0    0    2    0    0    0    2 15.111809 0.057008 SUCCESS  25
000111001    0    0    0    0    2    1    0    0 15.896255 0.043889 SUCCESS  26
000111011    4    6    4    1    1    5    5    1 15.710901 0.046710 SUCCESS  27
000111101    2    1    1    3    5    2    1    2  5.761345 0.673945 SUCCESS  28
000111111    0    0    0    3    1    5    0    2 13.857358 0.085560 SUCCESS  29
001000011    2    3    1    6    1    3    1    6 13.764680 0.088109 SUCCESS  30
001000101    6    2    5    2    4    3    6    1 15.836677 0.044778 SUCCESS  31
001000111    1    2    4    3    2    2    3    4  3.470895 0.901437 SUCCESS  32
001001011    0    1    2    2    1    0    1    3  7.863131 0.446953 SUCCESS  33
001001101    0    0    0    4    4    0    0    3 14.704692 0.065148 SUCCESS  34
001001111    4    4    4    2    2    3    4    3  4.632669 0.796018 SUCCESS  35
001010011    4    1    3    1    4    1    3    2  5.039787 0.753315 SUCCESS  36
001010101    2    1    1    3    3    2    2    2  2.309120 0.970039 SUCCESS  37
001010111    3    3    3    2    4    3    2    3  1.902002 0.983870 SUCCESS  38
001011011    4    3    4    3    2    3    4    3  3.785335 0.875953 SUCCESS  39
001011101    2    1    1    2    5    1    1    2  6.482903 0.593305 SUCCESS  40
001011111    5    4    7    1    1    5    6    3 22.804015 0.003625 FAILURE  41
001100101    4    4    4    2    4    3    5    2  7.300448 0.504591 SUCCESS  42
001100111    2    4    3    2    2    2    3    2  1.713338 0.988575 SUCCESS  43
001101011    1    4    3    5    1    4    4    3  7.959118 0.437474 SUCCESS  44
001101101    2    2    1    2    4    2    1    2  3.156454 0.924159 SUCCESS  45
001101111    1    1    0    3    2    2    0    3  7.141573 0.521438 SUCCESS  46
001110101    3    2    2    3    3    4    2    3  1.839114 0.985553 SUCCESS  47
001110111    1    4    4    1    0    4    3    2  7.581789 0.475349 SUCCESS  48
001111011    5    2    3    2    2    2    3    2  3.470895 0.901437 SUCCESS  49
001111101    4    4    4    1    5    4    2    3  8.084894 0.425222 SUCCESS  50
001111111    1    2    2    2    0    5    1    2  7.330237 0.501457 SUCCESS  51
010000011    2    0    2    2    3    1    2    2  3.878012 0.867958 SUCCESS  52
010000111    1    2    1    3    3    4    1    3  4.129564 0.845248 SUCCESS  53
