		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    4    1    2    1    1    4    2  7.330237 0.501457 SUCCESS   0
000000011    0    2    6    1    1    3    4    4 11.944236 0.153709 SUCCESS   1
000000101    4    5    1    1    4    1    0    1 10.845349 0.210617 SUCCESS   2
000000111    1    3    5    1    1    0    3    3  8.303347 0.404413 SUCCESS   3
000001001    3    2    2    2    3    2    3    3  0.866004 0.998961 SUCCESS   4
000001011    6    3    2    2    2    1    2    0  9.213569 0.324601 SUCCESS   5
000001101    2    1    2    2    3    5    2    3  4.255341 0.833382 SUCCESS   6
000001111    2    3    4    2    2    0    2    5  6.797343 0.558648 SUCCESS   7
000010001    1    1    0    1    3    1    2    3  6.294238 0.614310 SUCCESS   8
000010011    2    2    0    6    3    2    5    3 11.222678 0.189398 SUCCESS   9
000010101    1    1    1    2    2    1    4    2  4.725346 0.786488 SUCCESS  10
000010111    7    2    1    2    1    1    3    1 12.602906 0.126262 SUCCESS  11
000011001    2    5    3    2    2    2    3    7 12.258676 0.140030 SUCCESS  12
000011011    2    3    0    2    7    4    2    3 12.917346 0.114725 SUCCESS  13
000011101    0    3    7    7    4    0    2    2 24.058466 0.002241 FAILURE  14
000011111    1    3    3    6    1    3    1    4  9.465122 0.304589 SUCCESS  15
000100011    1    2    0    1    3    1    3    3  5.572680 0.694975 SUCCESS  16
000100101    1    4    4    4    2    2    0    5  9.465122 0.304589 SUCCESS  17
000100111    4    0    0    2    3    3    4    1  8.303347 0.404413 SUCCESS  18
000101001    3    2    4    2    3    5    1    5  7.959118 0.437474 SUCCESS  19
000101011    1    3    0    2    6    1    4    0 13.387352 0.099199 SUCCESS  20
000101101    3    3    2    3    2    3    3    2  0.928892 0.998659 SUCCESS  21
000101111    6    3    1    0    1    1    7    0 21.986469 0.004941 FAILURE  22
000110011    4    4    2    0    4    2    4    4  7.896229 0.443672 SUCCESS  23
000110101    1    3    1    2    1    3    2    1  3.878012 0.867958 SUCCESS  24
000110111    1    3    2    2    3    4    2    0  4.914011 0.766726 SUCCESS  25
000111001    2    4    5    0    2    0    1    3  9.998015 0.265165 SUCCESS  26
000111011    2    1    2    0    3    2    3    1  4.725346 0.786488 SUCCESS  27
000111101    3    6    5    3    1    2    2    2  9.590898 0.294921 SUCCESS  28
000111111    1    3    5    3    2    3    1    2  5.102675 0.746548 SUCCESS  29
001000011    3    4    2    3    3    6    0    4 10.501120 0.231599 SUCCESS  30
001000101    1    4    2    3    3    3    2    1  3.345118 0.910872 SUCCESS  31
001000111    1    3    2    3    1    4    3    3  3.408006 0.906211 SUCCESS  32
