		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    3    2    1    5    3    0    4  8.617787 0.375557 SUCCESS   0
000000011    4    5    1    2    4    0    0    4 11.881348 0.156577 SUCCESS   1
000000101    2    1    5    6    6    3    2    2 14.863567 0.061853 SUCCESS   2
000000111    2    6    3    1    4    1    0    2 10.971126 0.203341 SUCCESS   3
000001001    3    3    1    2    1    4    4    3  4.318229 0.827331 SUCCESS   4
000001011    2    2    4    5    5    4    0    2 10.438232 0.235604 SUCCESS   5
000001101    4    1    2    3    2    1    3    4  4.255341 0.833382 SUCCESS   6
000001111    1    5    2    1    3    2    0    1  8.177571 0.416320 SUCCESS   7
000010001    0    2    5    2    2    3    1    0  9.024905 0.340199 SUCCESS   8
000010011    4    1    0    5    1    4    4    4 11.222678 0.189398 SUCCESS   9
000010101    2    2    2    3    2    4    2    2  1.650450 0.989919 SUCCESS  10
000010111    1    2    3    3    4    0    0    1  8.114683 0.422349 SUCCESS  11
000011001    5    0    3    3    3    1    2    5  9.465122 0.304589 SUCCESS  12
000011011    6    5    0    2    3    1    4    6 18.252903 0.019408 SUCCESS  13
000011101    3    4    3    1    3    2    1    3  3.408006 0.906211 SUCCESS  14
000011111    1    4    0    3    3    4    1    1  7.456013 0.488323 SUCCESS  15
000100011    0    3    3    2    2    1    0    0  8.773353 0.361775 SUCCESS  16
000100101    1    3    3    3    3    1    1    1  4.003788 0.856782 SUCCESS  17
000100111    3    1    2    0    0    3    3    3  6.482903 0.593305 SUCCESS  18
000101001    4    2    4    2    6    3    8    3 21.109346 0.006863 FAILURE  19
000101011    1    1    1    1    1    1    2    1  6.105574 0.635407 SUCCESS  20
000101101    2    1    2    4    3    3    1    2  3.282230 0.915418 SUCCESS  21
000101111    2    1    2    4    5    0    1    2  8.303347 0.404413 SUCCESS  22
000110011    5    2    4    3    4    2    3    5  8.147782 0.419169 SUCCESS  23
000110101    1    1    3    4    3    1    1    1  5.635568 0.687978 SUCCESS  24
000110111    4    2    0    3    3    0    3    4  7.581789 0.475349 SUCCESS  25
000111001    3    4    7    2    2    3    0    4 13.890457 0.084666 SUCCESS  26
000111011    4    2    1    0    1    0    4    4  9.935127 0.269609 SUCCESS  27
000111101    1    4    4    3    2    1    5    1  7.707565 0.462545 SUCCESS  28
000111111    4    2    0    4    1    5    2    4  9.465122 0.304589 SUCCESS  29
001000011    4    4    1    2    1    2    1    4  5.887121 0.659874 SUCCESS  30
001000101    2    2    3    1    2    3    4    2  2.497784 0.961834 SUCCESS  31
001000111    1    3    4    2    3    5    1    1  6.797343 0.558648 SUCCESS  32
001001011    2    3    0    1    3    2    1    2  4.725346 0.786488 SUCCESS  33
001001101    3    3    3    8    3    2    7    3 22.804015 0.003625 FAILURE  34
001001111    6    1    4    0    2    2    2    6 15.459349 0.050806 SUCCESS  35
001010011    0    3    2    1    2    3    6    0 11.692684 0.165451 SUCCESS  36
001010101    2    1    6    3    4    3    1    2  8.617787 0.375557 SUCCESS  37
001010111    4    1    4    2    0    1    2    3  6.608679 0.579380 SUCCESS  38
001011011    2    2    2    3    3    6    2    2  6.075785 0.638743 SUCCESS  39
001011101    3    2    1    1    2    1    1    3  3.878012 0.867958 SUCCESS  40
001011111    3    2    4    1    3    1    2    3  3.345118 0.910872 SUCCESS  41
001100101    2    0    5    2    4    1    2    2  7.518901 0.481816 SUCCESS  42
001100111    2    4    4    5    3    4    4    2  7.300448 0.504591 SUCCESS  43
001101011    1    1    2    5    1    3    4    1  7.518901 0.481816 SUCCESS  44
001101101    5    4    1    1    2    0    2    5 11.034014 0.199779 SUCCESS  45
001101111    2    4    0    3    3    0    4    2  7.518901 0.481816 SUCCESS  46
001110101    2    5    2    3    5    4    1    2  7.896229 0.443672 SUCCESS  47
001110111    1    3    3    1    1    2    2    1  3.878012 0.867958 SUCCESS  48
001111011    2    5    4    2    2    1    2    2  5.102675 0.746548 SUCCESS  49
001111101    3    2    2    1    3    4    5    3  5.291339 0.726032 SUCCESS  50
001111111    3    4    1    4    2    5    1    3  6.986007 0.538143 SUCCESS  51
010000011    3    2    1    1    1    2    3    3  3.156454 0.924159 SUCCESS  52
010000111    1    4    2    3    2    2    4    1  4.192453 0.839356 SUCCESS  53
010001011    4    2    2    4    1    2    3    4  4.381117 0.821206 SUCCESS  54
010001111    3    0    3    3    1    1    3    3  4.914011 0.766726 SUCCESS  55
010010011    1    2    3    2    3    0    3    1  4.788234 0.779952 SUCCESS  56
010010111    6    3    0    1    4    2    2    6 15.522237 0.049752 SUCCESS  57
010011011    3    3    1    4    2    1    6    3  8.680676 0.369946 SUCCESS  58
010011111    1    2    2    0    2    4    5    1  8.303347 0.404413 SUCCESS  59
010100011    3    4    3    3    1    1    1    3  4.192453 0.839356 SUCCESS  60
