		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    1    1    0    3    5    5    0 12.540018 0.128687 SUCCESS   0
000000011    2    2    2    0    4    1    6    1 10.908238 0.206953 SUCCESS   1
000000101    6    1    3    0    2    4    2    1 10.971126 0.203341 SUCCESS   2
000000111    1    1    2    1    2    3    5    3  5.824233 0.666913 SUCCESS   3
000001001    1    4    2    1    3    4    2    2  4.192453 0.839356 SUCCESS   4
000001011    5    1    1    1    0    4    1    1 10.656685 0.221921 SUCCESS   5
000001101    1    1    3    2    1    1    2    0  6.231350 0.621335 SUCCESS   6
000001111    0    2    0    1    2    1    5    2  9.746463 0.283274 SUCCESS   7
000010001    2    2    2    2    2    4    7    2 10.375344 0.239663 SUCCESS   8
000010011    3    1    2    1    6    4    2    2  8.554899 0.381222 SUCCESS   9
000010101    2    5    4    2    2    0    1    0  9.935127 0.269609 SUCCESS  10
000010111    9    1    1    3    0    3    0    3 25.438694 0.001309 FAILURE  11
000011001    3    1    9    3    1    4    3    0 23.995578 0.002296 FAILURE  12
000011011    2    3    3    2    1    4    0    0  7.330237 0.501457 SUCCESS  13
000011101    2    3    3    2    4    2    3    5  4.506893 0.808743 SUCCESS  14
000011111    1    4    0    1    2    1    8    3 19.507355 0.012370 SUCCESS  15
000100011    1    4    3    2    1    4    7    1 13.764680 0.088109 SUCCESS  16
000100101    5    2    2    3    0    4    1    1  8.366235 0.398537 SUCCESS  17
000100111    4    2    4    1    5    5    2    4  9.779562 0.280840 SUCCESS  18
000101001    2    2    4    5    2    5    0    3  9.528010 0.299727 SUCCESS  19
000101011    1    9    3    1    1    1    5    0 27.196251 0.000654 FAILURE  20
000101101    4    2    1    0    1    3    3    1  6.482903 0.593305 SUCCESS  21
000101111    5    2    0    7    1    2    0    0 20.166025 0.009726 FAILURE  22
000110011    4    2    7    1    4    3    2    3 12.258676 0.140030 SUCCESS  23
000110101    0    1    2    3    2    1    0    2  7.078684 0.528168 SUCCESS  24
000110111    3    1    6    1    1    3    1    1  9.998015 0.265165 SUCCESS  25
000111001    3    3    1    1    1    4    4    3  5.102675 0.746548 SUCCESS  26
000111011    1    2    1    4    4    2    2    4  5.102675 0.746548 SUCCESS  27
000111101    2    1    0    4    2    3    1    1  6.420015 0.600293 SUCCESS  28
000111111    2    1    1    2    1    1    4    5  7.456013 0.488323 SUCCESS  29
001000011    0    2    1    0    3    5    5    1 12.540018 0.128687 SUCCESS  30
001000101    2    0    2    5    2    4    2    2  6.734455 0.565535 SUCCESS  31
001000111    2    1    1    1    2    6    4    3  9.339345 0.314483 SUCCESS  32
001001011    5    2    3    0    1    3    2    3  6.734455 0.565535 SUCCESS  33
001001101    1    3    3    1    3    3    2    3  2.497784 0.961834 SUCCESS  34
001001111    2    0    3    2    5    5    5    5 14.016233 0.081343 SUCCESS  35
001010011    1    2    5    5    3    3    0    2  9.402234 0.309508 SUCCESS  36
001010101    1    2    2    2    3    1    1    3  3.093566 0.928349 SUCCESS  37
001010111    1    2    1    2    2    2    3    1  3.030678 0.932418 SUCCESS  38
001011011    5    3    1    1    2    4    5    2  8.680676 0.369946 SUCCESS  39
001011101    8    4    2    5    2    1    1    4 19.947572 0.010536 SUCCESS  40
001011111    5    0    1    6    4    1    1    2 14.423350 0.071377 SUCCESS  41
001100101    2    3    2    3    3    1    3    2  1.650450 0.989919 SUCCESS  42
001100111    4    2    4    2    5    4    1    2  7.048895 0.531367 SUCCESS  43
001101011    3    1    2    3    2    1    1    2  3.093566 0.928349 SUCCESS  44
001101101    1    4    1    3    2    2    1    1  4.788234 0.779952 SUCCESS  45
001101111    5    2    1    1    2    5    2    4  8.617787 0.375557 SUCCESS  46
001110101    3    3    5    0    4    3    0    3  9.402234 0.309508 SUCCESS  47
001110111    2    4    2    5    2    0    2    3  6.797343 0.558648 SUCCESS  48
001111011    2    1    3    5    1    5    4    1  9.465122 0.304589 SUCCESS  49
001111101    2    4    4    2    3    1    5    3  6.201561 0.624665 SUCCESS  50
001111111    2    1    0    3    2    3    3    4  4.976899 0.760042 SUCCESS  51
010000011    1    3    3    2    1    3    2    3  2.434896 0.964698 SUCCESS  52
010000111    0    1    0    4    1    4    6    3 14.360462 0.072841 SUCCESS  53
010001011    3    1    0    3    0    3    2    2  6.420015 0.600293 SUCCESS  54
010001111    3    1    3    3    3    4    3    1  3.470895 0.901437 SUCCESS  55
010010011    2    5    3    1    3    3    3    4  5.354227 0.719131 SUCCESS  56
010010111    5    1    3    3    1    2    1    4  6.797343 0.558648 SUCCESS  57
010011011    3    3    2    1    3    3    1    3  2.497784 0.961834 SUCCESS  58
010011111    2    1    0    6    3    4    8    1 24.058466 0.002241 FAILURE  59
010100011    2    3    6    1    5    1    1    2 11.096902 0.196269 SUCCESS  60
010100111    1    3    1    7    3    3    1    0 14.360462 0.072841 SUCCESS  61
010101011    1    4    2    2    4    2    1    3  4.192453 0.839356 SUCCESS  62
010101111    3    1    3    4    1    1    5    0  9.213569 0.324601 SUCCESS  63
