		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    2    0    0    2    1    0    0  6.064175 0.640043 SUCCESS   0
000000011    2    1    0    0    2    0    0    1  6.064175 0.640043 SUCCESS   1
000000101    0    0    2    1    1    1    0    1  4.369506 0.822342 SUCCESS   2
000000111    2    3    1    0    0    0    1    1  7.063764 0.529769 SUCCESS   3
000001001    1    3    1    2    3    3    3    1 11.561917 0.171846 SUCCESS   4
000001011    1    0    1    1    1    1    0    1  2.674838 0.953079 SUCCESS   5
000001101    2    0    0    2    2    0    0    0  7.758843 0.457375 SUCCESS   6
000001111    1    3    2    1    0    0    1    1  5.868891 0.661915 SUCCESS   7
000010001    0    5    1    1    0    2    1    2 15.841616 0.044704 SUCCESS   8
000010011    0    1    2    3    2    0    2    2  7.368275 0.497469 SUCCESS   9
000010101    1    0    1    0    1    0    0    2  5.564380 0.695897 SUCCESS  10
000010111    1    0    2    1    1    0    0    1  4.369506 0.822342 SUCCESS  11
000011001    2    2    2    1    2    0    1    0  4.674017 0.791781 SUCCESS  12
000011011    2    1    0    1    1    0    0    0  5.564380 0.695897 SUCCESS  13
000011101    3    1    2    0    0    1    4    2 12.952074 0.113509 SUCCESS  14
000011111    2    1    3    0    0    0    1    1  7.063764 0.529769 SUCCESS  15
000100011    0    1    1    3    0    1    0    0  7.758843 0.457375 SUCCESS  16
000100101    2    2    0    1    3    2    0    1  6.868480 0.550887 SUCCESS  17
000100111    0    2    2    2    2    0    2    2  5.673606 0.683739 SUCCESS  18
000101001    1    1    1    3    3    4    3    1 14.951253 0.060100 SUCCESS  19
000101011    3    1    1    0    1    1    0    1  5.369096 0.717496 SUCCESS  20
000101101    1    1    1    1    0    2    2    0  3.674427 0.885239 SUCCESS  21
000101111    1    1    2    0    1    1    0    0  4.369506 0.822342 SUCCESS  22
000110011    2    2    1    1    1    0    3    0  6.368685 0.606007 SUCCESS  23
000110101    3    0    1    2    1    0    0    1  7.063764 0.529769 SUCCESS  24
000110111    2    2    0    0    2    0    1    0  6.563969 0.584321 SUCCESS  25
000111001    1    1    1    1    1    1    0    0  2.674838 0.953079 SUCCESS  26
000111011    2    2    2    2    1    0    6    4 29.508189 0.000258 FAILURE  27
000111101    1    4    1    1    0    0    0    2 10.952895 0.204383 SUCCESS  28
000111111    2    0    1    0    0    0    1    0  6.759253 0.562816 SUCCESS  29
001000011    3    0    0    1    0    0    4    1 14.342232 0.073270 SUCCESS  30
001000101    3    4    2    0    1    3    3    1 16.645922 0.034015 SUCCESS  31
001000111    0    0    3    3    1    1    1    2  8.563148 0.380476 SUCCESS  32
001001011    1    3    0    0    3    2    2    1  9.062943 0.337014 SUCCESS  33
001001101    1    0    1    2    1    0    0    0  5.564380 0.695897 SUCCESS  34
001001111    1    2    0    1    2    1    2    1  2.979349 0.935647 SUCCESS  35
001010011    1    0    0    0    3    2    1    2  7.563559 0.477220 SUCCESS  36
001010101    0    0    1    1    0    1    1    2  4.369506 0.822342 SUCCESS  37
