3.95139 15.23611 59.52083,4.11806 16.19444 60.80556
3.90278 15.25 59.57639,4.19444 16.0625 61.60417
3.94444 15.13194 59.88889,4.28472 15.97917 61.95833
3.93056 14.89583 58.77778,4.3125 16.01389 61.83333
3.84722 15.03472 0.0,4.20833 16.45139 0.0
4.0 15.25 0.0,4.27083 16.14583 0.0
3.90278 15.17361 0.0,4.33333 16.00694 0.0
4.03472 15.25 0.0,4.28472 16.46528 0.0
3.90278 15.1875 0.0,4.3125 15.98611 0.0
3.86111 15.09722 0.0,4.14583 16.38889 0.0
4.0 14.86806 0.0,4.34028 16.34028 0.0
3.88194 0.0 0.0,4.15972 0.0 0.0

3.9919 15.33738 59.27126,4.25236 16.1417 60.76113
4.03239 15.28205 59.16599,4.24561 16.09582 61.12821
4.03239 15.32119 59.21188,4.25506 16.34143 61.05128
4.01215 15.31849 59.10796,4.18219 16.01484 61.38057
3.89069 15.20243 0.0,4.23887 16.25911 0.0
3.98785 15.23617 0.0,4.2807 16.18758 0.0
3.93252 15.12955 0.0,4.25371 16.18623 0.0
3.94062 15.20108 0.0,4.25101 16.11876 0.0
3.96761 15.12011 0.0,4.23617 16.1363 0.0
3.95277 15.30364 0.0,4.26586 16.23617 0.0
3.95682 15.05398 0.0,4.22402 16.139 0.0
3.92578 0.0 0.0,4.2834 0.0 0.0



4.05668 15.41565 59.20648,4.26181 16.1336 61.17274
3.97166 15.36437 58.90823,4.20783 16.23752 61.53711
3.98111 15.29825 59.31849,4.25641 16.14035 60.92848
3.97571 15.2726 59.06208,4.28745 16.22402 61.31174
3.91903 15.19163 0.0,4.2726 16.32119 0.0
3.95547 15.10526 0.0,4.25371 16.30229 0.0
3.94467 15.17679 0.0,4.25506 16.12416 0.0
3.96896 15.22132 0.0,4.28745 16.18084 0.0
3.91498 15.16734 0.0,4.25506 16.16869 0.0
3.94602 15.27935 0.0,4.19298 16.31309 0.0
3.92578 15.11336 0.0,4.23887 16.26991 0.0
3.90553 0.0 0.0,4.26181 0.0 0.0

# rescale
0.45139 0.3211 0.19658,0.04167 0.00421 0.01387
0.34722 0.34803 0.17589,0.09028 0.04887 0.02476
0.36111 0.31806 0.1802,-0.02778 -0.00317 -0.06095
0.31944 0.297 0.18578,0.02083 0.0203 -0.05458
0.29167 0.27089 0.0,-0.11806 -0.00151 0.0
0.45833 0.30848 0.0,-0.16667 0.05457 0.0
0.29861 0.20194 0.0,0.0 -0.06355 0.0
0.40972 0.2497 0.0,0.00694 0.02358 0.0
0.40278 0.28887 0.0,-0.02778 0.01614 0.0
0.28472 0.26085 0.0,-0.04861 -0.01826 0.0
0.46528 0.25359 0.0,0.02083 0.06905 0.0
0.25694 0.0 0.0,-0.07639 0.0 0.0

# adj_rescale
0.64583 0.36992 0.33714,0.00694 0.00839 0.02325
0.65972 0.36363 0.30143,-0.02778 0.02733 -0.01047
0.61806 0.4693 0.29404,-0.02083 0.06915 0.02776
0.61806 0.41938 0.29752,-0.0625 -0.06006 0.03646
0.64583 0.34169 0.0,-0.01389 0.03451 0.0
0.60417 0.39311 0.0,-0.01389 0.04948 0.0
0.5625 0.4811 0.0,-0.06944 0.00158 0.0
0.70139 0.42732 0.0,-0.05556 0.00791 0.0
0.68056 0.39374 0.0,-0.00694 0.00841 0.0
0.70139 0.45984 0.0,-0.07639 -0.05601 0.0
0.70139 0.48069 0.0,0.02778 0.01945 0.0
0.65278 0.0 0.0,0.04167 0.0 0.0

# expand_rescale
0.2764 0.20399 0.14136,0.01553 -0.00576 -0.02856
0.33541 0.24228 0.1845,0.0 0.03219 -0.00341
0.27019 0.17146 0.13433,0.00311 -0.04066 0.0242
0.22671 0.19349 0.12829,0.03416 0.03626 0.02564
0.31367 0.25143 0.0,0.09938 -0.02677 0.0
0.35715 0.27854 0.0,-0.00621 -0.03084 0.0
0.26398 0.21178 0.0,0.03416 -0.00237 0.0
0.27019 0.21382 0.0,0.00932 0.02033 0.0
0.26709 0.25719 0.0,-0.00311 -0.0427 0.0
0.25777 0.22873 0.0,0.02795 -0.00102 0.0
0.22671 0.2233 0.0,0.05901 0.01186 0.0
0.23914 0.0 0.0,-0.07143 0.0 0.0

# expand_rescale
0.30659 0.21447 0.16133,0.01569 0.0191 -0.00267
0.2559 0.20466 0.13369,-0.03259 -0.0104 0.00227
0.28486 0.19834 0.14467,0.01811 0.00099 -0.00154
0.30538 0.23706 0.13452,0.01509 0.0137 0.00608
