filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
# (4),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,9374 / 9472 = 0.9896537162,5106 / 9472 = 0.5390625,4630 / 9472 = 0.4888091216,105 / 148 = 0.7094594595,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,4686 / 4736 = 0.9894425676,2596 / 4736 = 0.5481418919,2304 / 4736 = 0.4864864865,125 / 148 = 0.8445945946,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,2346 / 2368 = 0.9907094595,1306 / 2368 = 0.5515202703,1136 / 2368 = 0.4797297297,137 / 148 = 0.9256756757,1 / 148 = 0.0067567568,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,8,1176 / 1184 = 0.9932432432,622 / 1184 = 0.5253378378,544 / 1184 = 0.4594594595,144 / 148 = 0.972972973,12 / 148 = 0.0810810811,5 / 148 = 0.0337837838
../data/data_static_indoor_1_r.mat,148,16,592 / 592 = 1.0,300 / 592 = 0.5067567568,258 / 592 = 0.4358108108,148 / 148 = 1.0,35 / 148 = 0.2364864865,30 / 148 = 0.2027027027
# (2),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,9464 / 9472 = 0.9991554054,5328 / 9472 = 0.5625,4726 / 9472 = 0.4989442568,144 / 148 = 0.972972973,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,4736 / 4736 = 1.0,2660 / 4736 = 0.5616554054,2432 / 4736 = 0.5135135135,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,2368 / 2368 = 1.0,1454 / 2368 = 0.6140202703,1228 / 2368 = 0.5185810811,148 / 148 = 1.0,2 / 148 = 0.0135135135,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,8,1184 / 1184 = 1.0,738 / 1184 = 0.6233108108,592 / 1184 = 0.5,148 / 148 = 1.0,24 / 148 = 0.1621621622,7 / 148 = 0.0472972973
../data/data_static_indoor_1_r.mat,148,16,592 / 592 = 1.0,440 / 592 = 0.7432432432,276 / 592 = 0.4662162162,148 / 148 = 1.0,79 / 148 = 0.5337837838,33 / 148 = 0.222972973
# (6),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,9472 / 9472 = 1.0,8590 / 9472 = 0.9068834459,4834 / 9472 = 0.5103462838,148 / 148 = 1.0,6 / 148 = 0.0405405405,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,4734 / 4736 = 0.9995777027,4234 / 4736 = 0.8940033784,2412 / 4736 = 0.5092905405,147 / 148 = 0.9932432432,26 / 148 = 0.1756756757,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,2368 / 2368 = 1.0,2104 / 2368 = 0.8885135135,1262 / 2368 = 0.5329391892,148 / 148 = 1.0,54 / 148 = 0.3648648649,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,1184 / 1184 = 1.0,1006 / 1184 = 0.8496621622,586 / 1184 = 0.4949324324,148 / 148 = 1.0,78 / 148 = 0.527027027,7 / 148 = 0.0472972973
../data/data_static_indoor_1_r.mat,148,16,592 / 592 = 1.0,518 / 592 = 0.875,328 / 592 = 0.5540540541,148 / 148 = 1.0,113 / 148 = 0.7635135135,44 / 148 = 0.2972972973
# (5),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,4732 / 4736 = 0.9991554054,4106 / 4736 = 0.8669763514,2352 / 4736 = 0.4966216216,146 / 148 = 0.9864864865,14 / 148 = 0.0945945946,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,2368 / 2368 = 1.0,2018 / 2368 = 0.8521959459,1196 / 2368 = 0.5050675676,148 / 148 = 1.0,42 / 148 = 0.2837837838,0 / 148 = 0.0
